,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
11,"This special Laphroaig is crafted from carefully selected casks from each of the distillery's key styles - with one notable addition. The heart of this single malt is drawn from a final maturation in new American Oak casks, a rarity used for Scotch whisky maturation. With spirit selected by the master distiller from Quarter Cask, PX Cask and Triple Wood (European Oak casks) and a final addition of 10 Year Old, the whisky represents a subtle blending of peat, oak and sweetness. This is a full-bodied expression, featuring Laphroaig's trademark 'peat reek' matched by an additional layer of complexity and depth brought about by the fusion of the maturation styles and different oaks.",Scotch Whisky,700mL,Islay,22.1,40.00%,Scotland,Laphroaig,Cork,Single Malt,no_information
12,"The gateway to double cask maturation, Aberlour 12 year old double cask matured has balanced notes of fruits and spices. Golden amber with hints of ruby red. Soft and rounded with fruity notes of red apples. Sherried character and fruity aromas balanced with a rich chocolate, toffee, cinnamon and ginger spices. Warming and lingering with some smoky notes and gentle pepperiness.",Scotch Whisky,700mL,Speyside,22.1,40%,Scotland,12 Year Old,Aberlour,Cork,Single Malt
13,"Produced at the oldest distillery on the Isle of Skye, Talisker Single Malt Scotch Whisky has been made by the sea since 1830, TALISKER Single Malt Scotch Whisky has been “Made By the Sea” since 1830. In fact, few single malts tell the story of their origin better. Its smell and taste instantly connect the drinker with the rugged coastal environment. Every sip is a taste of the Isle of Skye itself – a powerhouse; challenging but adored, once discovered rarely left. Like a warm welcome from a wild sea. The intense character of TALISKER comes from fresh water drawn directly from underground springs next to the distillery, two very distinctive wash stills and wooden worm tub condensers which, along with its unusual ABV of 45.8%, help set Talisker apart from other malts.",Single Malt,700mL,The Isles - Isle of Skye,Talisker 18 Year Old Malt Whisky,25,45.80%,Scotland,18 Year Old,,
14,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
15,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
16,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
17,"Discover the distinct flavours of the islands of Scotland with a swill of Lagavulin 16 Year Old Islay Single Malt Scotch Whisky. Our whisky has the intense, full-bodied flavour reminiscent of a driftwood fire at dusk. The taste of dry peat smoke with strong maritime notes results in a complex dram that is complemented by a long, elegant finish",Scotch Whisky,700mL,Islay,24,43%,Scotland,16 Year Old,Lagavulin,,
18,"Spey River 12 Year Old is a collection of some of the finest single malt scotch whiskies from the renowned Speyside region of Scotland. Known for its combination of refined flavour, aroma and excellence, this Speyside malt delivers on all fronts with a level of complexity that is hard to find.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,12 Year Old,Spey River,Single Malt,no_information
19,"Deep wood aroma, maltose, nectar, blueberry, Mizunara oak, milk coffee; Oily, ripe fruit, lemon peel, leather, cinnamon, ginger. Finished with a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.

Summary: This is richer in taste than the 10-year-old whisky. The sweet aftertaste is outstanding; Mizunara Barrel brings out different levels of spice flavors. Deep floral woody scent is also full of vitality.
 
TASTING NOTES:
COLOUR: Old Gold
NOSE: Deep wood aroma, maltose, nectar, blueberry, Mizunara oak, milk coffee
PALATE: Oily, ripe fruit, lemon peel, leather, cinnamon, ginger

FINISH: a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.",Whisky,700mL,Niigata Prefecture,23,43%,Japan,15 Year Old,THE SHINOBU PURE MAL,,
20,"The Hakushu Distillery is know as the 'Mountain Forest Distillery' as it stands amidst fresh streams and lush forests. Built with the notion, 'Coexisting with nature', a bird sanctuary was set up to help preserve the natural environment, thus preserving the pristine water that goes into creating the whisky. The 12 year old single malt whisky has a crisp and vibrant taste and can be enjoyed on neat, on the rocks or with ice and soda water.",Japanese Whisky,700mL,24,43.50%,Japan,12 Year Old,Hakushu,Cork,Single Malt,no_information
21,"Produced from the pure waters of the Southern Japanese Alps, Hakushu Distillers Reserve is a green and fresh whisky with a crisp and vibrant taste. Now, for the first time ever, this whisky is available outside of Japan.",Japanese Whisky,700mL,23.7,43%,Japan,Hakushu,Cork,Single Malt,no_information,no_information
22,"Double matured in port casks, this malt is a toast to the Scottish traders who braved the high seas and were instrumental in founding the port wine trade, shipping it to the world. 'Port Ruighe' (pronounced 'Portree') is the Gaelic spelling of the once bustling trading port on Skye. The Port finish combines Talisker's powerful maritime character with succulent sweet notes of rich berry fruits for a superb contrasting taste experience.",Scotch Whisky,700mL,The Isles - Isle of Skye,25.3,45.80%,Scotland,Talisker,Spicy Foods,,
23,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
24,"A traditional, non-chill filtered Whisky aged in Sherry and Bourbon casks. Extra long maturation lends elegance, depth and warmth, and a soft, rich palate that is tantalising and entrancing.",Scotch Whisky,700mL,Highland,23.7,43%,Scotland,Glenmorangie,Cork,Single Malt,no_information
25,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
26,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
27,"The culmination of a life-time's experience of Glenmorangie's whisky creators, Signet is a fusion of some of the oldest and rarest whiskies from the Glenmorangie archives aged in designer casks. Incredibly smooth, Signet tantalises with sizzling spices, before the voluptuous texture of rich chocolate and dark intense aromatic coffee create a veritable velvet explosion of taste. With its iconic, powerful bottle and a statuesque gift box, the stunning packaging visually reflects the beauty of this ultra-stylish and luxurious single malt whisky. With rave reviews by whisky connoisseurs and epicureans alike, this is very limited edition and won't be around for long.",Scotch Whisky,700mL,Highland,25.4,46%,Scotland,Glenmorangie,Cork,Single Malt,no_information
28,"Ardbeg 10 Year Old Single Malt is typical Islay (eye-la). Light gold colour with exceptional balance and depth on the nose. The aroma is a beguiling mix of toffee and chocolate sweetness, cinnamon spice, Fresh citrus and floral notes of white wine are evident, as are melon, pear drops and a gentle creaminess. There is also fresh phenolics of seaspray and smoked fish. Hickory and coffee emerge on the finish.",Scotch Whisky,700mL,Islay,Ardbeg The Ultimate 10 Year Old Single Malt Scotch Whisky,25,46.00%,,,,
29,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
30,"The Rare Cask's rich mahogany-red whisky showcases two of The Macallan’s greatest and most defining strengths - sherry seasoned oak casks and natural colour. For this spectacular whisky, 16 different cask styles were individually hand chosen for their character, some casks so rare they will never be used again. This spicy quartet is unwavering in flavour. Oak resonates, timeless, polished and rich. Vanilla and chocolate lead the finale along with a light citrus zest. Ending perfectly warming and woody.",Scotch Whisky,700mL,Speyside,23.7,43.00%,Scotland,The Macallan,Single Malt,no_information,no_information
31,"The Teeling 24 Year Old Single Malt was first distilled in 1991 and matured in Bourbon casks, then allowed marry in Sauterne wine casks, allowing for a wholly unique Irish Whiskey taste experience. Bottled at 46% with no chill filtration completing a whiskey of true character.",Irish Whiskey,700mL,25.4,46.00%,Ireland,24 Year Old,Teeling,Cork,Single Malt,no_information
32,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt
33,"Aberlour a'bunadh is a single batch single malt that is sourced exclusively from the Speyside region - a'bunadh meaning 'The Origin' in Gaelic. Straight from the cask without chill-filtration and alcohol reduction, this whisky is heavy bodied and jam packed full of flavour. A'bunadh is not for the faint hearted as with each batch they mature it exclusively in Spanish Oloroso Sherry Butts. The nose, is simply Christmas in a glass. Dried dates combined with heavy spices, cloves star anise and cinnamon sticks with burnt orange in the back. The feeling of black cherries with luxury dark chocolate coat the mouth with sherry and oak laced into it. An extremely robust Scotch leaves a finish full of exotic spices and wonderful oaky notes.",Scotch Whisky,700mL,Speyside,33,59.60%,Scotland,Aberlour,Single Malt,no_information,no_information
34,"Dalwhinnie is the highest of all the distillers in Scotland and place so to take advantage of the cleanest springwater possible. Dalwhinnie has a smokey, floral aroma and a delicate palate of heather and honed malt. A serious Whisky, yet approachable to the beginners.",Scotch Whisky,700mL,Highland,24,43.00%,Scotland,15 Year Old,Dalwhinnie,Single Malt,no_information
35,"Fresh wood barrel dominates the spirit with a touch of vanilla and flowers that bring to breath of nectar, maltose, tones of fruits citrus, Mizunara oak & coffee beans; medium wood intergration, then finish with a sweet aftertaste of maltose.

Summary: Very smooth, rounded full pallet and easy to drink.
 
TASTING NOTES:
COLOUR: Mahogany
NOSE: Fresh wood barrel dominates the spirit with a touch of vanilla and flowers and slight honey suckle.
PALATE: maltose, a little bit tones of fruits citrus, Mizunara oak, coffee beans.
FINISH: woody & back to sweet aftertaste of maltose..",Whisky,700mL,Niigata Prefecture,23,43%,Japan,10 Year Old,THE SHINOBU,,
36,"This Port Charlotte 10 year old has been conceived, distilled, matured and bottled on Islay alone. A young team with deep-rooted values, and an ambition to make the ultimate “Islay” Islay whisky. A whisky made by people not software; a whisky watched over every day of its maturing life by those who made it; a whisky born of a community with a vision and a mission to kick start a single malt whisky revolution, this Port Charlotte 10 year old is who we are.",Scotch Whisky,700mL,Islay,27.6,50%,Scotland,Bruichladdich,Cork,Single Malt,no_information
37,"Classic Speyside Distillery, Balvenie have blended some of their rarest reserve whiskies and aged them for 21 long years. In the final few months of the ageing process, the whisky is transferred to port casks, or pipes, to impart a luscious, creamy and silken character. The whisky is tasted regularly by the Balvenie Malt Master to impart just the perfect amount of flavour to further enhance those honey and spice notes that give way to a long, gentle and nutty finish.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,21 Year Old,The Balvenie,Cork,Single Malt
38,This Classic Port Cask Scotch Whisky is a new addition to the Glen Moray Single Malt Family. It has the perfect combination of rich wine flavours with vanilla oak notes because it is matured from the finest American oak barrels then matured for another 8 months in Port pipes. This Whisky is specially selected by the master distiller due to the fact that it is well balanced and full of character.,Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,Glen Moray,Cork,Single Malt,no_information
39,"The Macallan Sherry Oak 12 Year Old is matured exclusively in hand-picked sherry seasoned oak casks from Jerez, adding richness and complexity. A matured character, the 12 Years Old delivers rich wood spice and dried fruits and a natural rich gold colour.",700mL,Speyside,22,40%,Scotland,12 Year Old,The Macallan,Cork,Single Malt,no_information
40,"A rich and complex Scotch, finished in Caribbean Rum casks with toffee sweetness, notes of vanilla and hints of new leather. The Rum casks give the Scotch just the perfect kiss of exotic spice. Best enjoyed neat, with a splash of filtered water or over ice.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,21 Year Old,Glenfiddich,Single Malt,no_information
41,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
42,"The Macallan 12 Year Old Double Cask is the perfect balance of 100% sherry seasoned American and European oak, a marriage of 2 wood types. Smooth, sweet and balanced. The defining style is American oak - citrus and light oak balanced by the expected Macallan character of rich fruit and wood spice.",Scotch Whisky,700mL,Speyside,23.7,43.0%,Scotland,12 Year Old,The Macallan,Single Malt,no_information
43,The Highland style of Whisky is generally considered to be one of the most approachable styles. Deep gold in colour with a nose of heather and wood smoke Highland Park has a deceptively complex palate that ranges from sweet maltiness to smokey peat and savoury spices.,Scotch Whisky,700mL,Highland,Highland Park Single Malt Whisky,26,40.00%,Scotland,12 Year Old,,
44,"Lagavulin 8 Year Old is big and smoky, with sweet spice that becomes apparent with a drop of water. Inspired by the visit of Alfred Barnard to the distillery in the 1880's when he tried an 'exceptionally fine' eight-year-old from the distillery, this is a fitting tribute.",Scotch Whisky,700mL,Islay,26.5,48%,Scotland,8 Year Old,Lagavulin,Synthetic Cork,Single Malt
45,"Starward NOVA is uniquely Australian, crafted exclusively with local wine barrels for maturation resulting in a Whisky with balanced aromas of raisins, bananas and a touch of balsamic lead to clove, toffee and nougat. The palate is filled with red berries, hints of cinnamon and a variety of savoury and spice driven notes. A long, dry and tannic finish guides a strong linear reach through the palate, balancing a generous roundness and oiliness of the spirit.",Australian Whisky,700mL,22.6,41.00%,Australia,Victoria,Starward,Screw Cap,Single Malt,no_information
46,"Glenlivet is a Sherry-finished Speyside malt Whisky. Honey in colour, spiced on the nose and a smoky palate make this a gorgeously luxurious Scotch.",Scotch Whisky,700mL,Speyside,24,43.00%,Scotland,18 Year Old,The Glenlivet,Single Malt,no_information
47,"This Scotch Whisky is handmade with rich, fruit cake flavours and a sweetness that emerges from the combination of Sherry wood and the small Stills of our old farm distillery. Despite being such a small distillery, Edradour produces more whiskies than most other distilleries. Owner since 2002, Master of the Quaich Andrew Symington has expertly used the spirit from our small stills, matured in the highest quality oak wood, to create a stunning and diverse range of single malts.",Scotch Whisky,700mL,22.1,40.00%,Scotland,10 Year Old,Edradour,Cork,Single Malt,no_information
48,"Dalmore, located on the northern shores of the Firth of Cromarty, deep in the Scottish Highlands has been making single malt whiskies since 1839 and the bottles still bear the stag crest of the Clan Mackenzie. Their Cigar Malt Reserve is a wonderful blend of three different oak types of 10-15 year old whiskies. White American oak, 30 year old Matusalem Olorosso Sherry casks and Premier Cru Cabernet Sauvignon wine barriques. The final blend has an enveloping aroma and flavour of the finest hand-made cigars; rich and smoky and extremely long lasting.",Scotch Whisky,700mL,Highland,24.3,44.00%,Scotland,The Dalmore,Cork,Single Malt,no_information
49,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
50,"Strathmill 25 Year Old is a limited edition, natural cask strength Single Malt. It's light and cheerful as a summer morning. An enigmatic and tantalising nose, well balanced between fresh and over-ripe, leads after a sweet start to an elegant dryness on the complex palate, then a long finish with a lovely aromatic dryness. Add water if you wish, but with care.",Scotch Whisky,700mL,Speyside,28.9,52.40%,Scotland,25 Year Old,Strathmill,Cork,Single Malt
51,no_information,no_information,700mL,27.6,50.00%,India,Amrut,Cork,Single Malt,no_information,no_information
52,"Nestled away in the far north of Scotland's Highland region is the distillery of Clynelish. Situated at Brora on the stormy North East coast, this 14 Year Old single malt has been matured in specially selected oak casks and then bottled at the full 46%. Displaying a waxy nose with a hint of sugar and florals, the whisky arrives on the palate with power and flavours of signature spice and maritime saltiness.",Scotch Whisky,700mL,Highland,25.4,46.00%,Scotland,14 Year Old,Clynelish,Cork,Single Malt
53,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
54,"One by one, The Last Great Malts of Scotland will leave their distillery gates. Full bodied and golden yellow in colour, Aberfeldy 12 Year Old is patiently fermented for longer bringing its famous honeyed notes and making it super smooth. Aged for 12 Years and bottled at 40% ABV. A smooth dram of heather and honey. As golden in hand as the gold in its water source.",Scotch Whisky,700mL,Highland,22.1,40.00%,Scotland,12 Year Old,Aberfeldy,Cork,Single Malt
55,no_information,no_information,no_information,no_information,no_information,40.00%,Scotland,Spey River,Cork,Single Malt,no_information
56,"The Glen Grant 18 Year Old Scotch Whisky matures in the highest quality, handpicked oak casks, which creates a radiant golden colour and seductive floral and oaky aroma. Deeply layered and complex, this rich and vibrant whisky delivers beautifully intricate flavours of malted caramel, vanilla and raisins and lingers with a long, sweet and pleasantly spicy finish.",Scotch Whisky,700mL,Speyside,23.7,43.0%,Scotland,18 Year Old,Glen Grant,Single Malt,no_information
57,The Glenlivet Archive 21Year Old is a batch produced whisky using only hand-selected casks. It is a complex whisky with sherry and wood notes integrating seamlessly with the aromatic palette. Let the pleasure linger late into the night.,Scotch Whisky,700mL,Speyside,24,43.00%,Scotland,21 Year Old,The Glenlivet,Single Malt,no_information
58,"The Macallan Triple Cask Matured 15 Years Old forms part of the Triple Cask Matured range; a series of single malt whiskies crafted in combination of European and American sherry seasoned oak casks and American ex-bourbon oak casks. The uniquely complex combination delivers the extraordinarily smooth and delicate character. A lighter style Macallan with a more complex character, the exquisite and expert marriage of this trinity of spirits delivers a sublime whisky with a natural rich straw colour and decadent flavours of orange and chocolate.",Scotch Whisky,700mL,Speyside,23.7,43.00%,Scotland,15 Year Old,The Macallan,Single Malt,no_information
59,no_information,no_information,no_information,no_information,no_information,no_information,Scotland,30 Year Old,Glenfiddich,Cork,Single Malt
60,Glen Moray Chardonnay Cask Single Malt Scotch Whisky is a classic double matured whisky selected from the finest American oak barrels and finished for 8 months in French Chardonnay wine casks. Influenced by Chardonnay which adds a bold sweetness and spice to the original flavours of sweet vanilla oak and caramelised fruits.,Scotch Whisky,700mL,Speyside,22.1,40.00%,Scotland,Glen Moray,Screw Cap,Single Malt,no_information
61,"This rare and aged single malt Scotch Whisky has spent 26 long years carefully maturing in American Oak ex-Bourbon casks. This expression was created to honour Glenfiddich's line of continuous family ownership since William Grant founded the distillery in 1887. The Scotch Whisky gives vibrant floral notes with a compelling balance of dry tannin and soft brown sugar, vanilla sweetness.",Scotch Whisky,700mL,Speyside,23.7,43.00%,Scotland,26 Year Old,Glenfiddich,Cork,Single Malt
62,"Glenfiddich is the world's most awarded single malt Scotch whisky, and this pack is the perfect gift to celebrate Lunar New Year.
The pack contains a bottle of Glenfiddich 12 Year Old Single Malt Scotch Whisky 700mL and a Glenfiddich branded Glass.

Glenfiddich means 'Valley of the Deer' in Scottish Gaelic, this is symbolised by the royal stag icon that addorns each whisky.
The noble stag is also an ancient symbol of long life, good fortune and prosperity in China.
The illustration adorning this limited edition gift pack depicts the epic journey taken by Charles Gordon, the son-in-law of the distillery founder, 110 years ago from Scotland to Asia.",700mL,Speyside,22,40%,Scotland,Glenfiddich,Single Malt,no_information,no_information,no_information
63,"Established in 1815, Ardbeg is one of Islay's nine active distilleries and embodies the true spirit of Scotland's most southerly Inner Hebridean Islands. Battered over the centuries by the rugged Scottish waves, Ardbeg produce some of the most powerful yet perfectly balanced whiskies. The Uigeadail is named for the loch that Arbeg source their all their pure water from and produces a strong, peat driven whiskey with notes of smoke, leather, dried fruits and walnut oil. Courtesy of maturation in both old bourbon and sherry casks, the Ardbeg Uigeadail has a flavour of Christmas pudding, glazed smoked ham with a burst of clove-driven spice on the finish. Destined to be very limited and a must have for all fans of Islay and Ardbeg.
Please note: Limit of 1 bottle per customer",Scotch Whisky,700mL,Islay,29.9,54.2%,Scotland,Ardbeg,Cork,Single Malt,no_information
64,"A brilliantly unqiue Scotch Whisky from Glenmorangie that is a non chill-filtered single malt that is initally matured in bourbon casks, then extra matured or 'finished' in Sauternes 'Barriques' to create luscious lemon and syrup flavours. 

This whisky enchants with a nose of lemon tart, fresh vanilla pods, orange zest and coconut. Silken textures lead to tastes of warming gingerbread with nutmeg, toasted almonds and meringue, before a sweet, mellow finish.",700mL,Highland,25.5,46%,Scotland,Glenmorangie,Cork,Single Malt,no_information,no_information
65,"Glengoyne is a unique distillery in that the stills are located in the Scottish Highlands, yet the distillery stores are located in the Lowlands - due to the distillery being located on the border between the regions. The other unique aspect is the the barley is warm air dried rather than using peat smoke which imparts a delicate, almost floral nature to their drams. The 10 Year Old has flavours and aromas of fresh green apples, toffee and a hint of nuttiness; a trademark taste that is courtesy of Scotland's slowest distillation.",Scotch Whisky,700mL,Highland,22,40.00%,Scotland,10 Year Old,Glengoyne,Single Malt,no_information
66,"16 year old Lagavulin double-matured in ex-bodega Pedro Ximenez cask wood for an intense, raisiny sweetness that marries beautifully with the smoky power of the regular release to create a massive, rich tasting power-house of a malt. Crafted with passion and skill on historic Lagavulin Bay since 1816, iconic Lagavulin Single Malt Scotch Whisky celebrated its 200th anniversary in 2016 and is for many the pinnacle of Islay malts; intense in flavour, smoky and rich.
It’s quite a legacy to carry in a bay enshrouded by the mists of time, a bay from which the sons of Somerled, Lord of the Isles, sailed to war; a bay guarded still by his ruined castle, Dunyvaig. Barley malted over local peat smoke imbues Lagavulin with its rich mix of shoreline airs and scented, smoky dryness.
Here’s a whisky so intense it turns away the cold; “time”, say locals, “takes out the fire and leaves in the warmth”. All this might please at last the leader who brought Lagavulin to fame, Sir Peter Mackie, known as “Restless Peter”. With production limited by the cramped site demand for regular expressions has outstripped supply for decades, so special editions and older releases are vanishingly rare and highly sought after
First maturation cask: Refill American Oak & European Oak
Second Maturation Cask: ex-bodega Pedro Ximenez-seasoned re-charred American Oak with heavily re-charred new AO ends.",Single Malt Scotch Whisky,700,Islay,25.44,43,Scotland,16 Year Old,Lagavulin,,
67,"Supported by the expertise of Malt Master David Stewart, this is the result of apprentice malt master Kelsey McKechnie’s fearless approach to new ideas married with a genuine respect for the craft. A story of flavour and flame.",Scotch Whisky,700mL,Speyside,23.75,43%,Scotland,The Balvenie,Stopper,Single Malt,no_information
68,"Made in the highest and coldest working distillery in Scotland, with water from a loch at 2000 feet, Dalwhinnie whisky thrives on extreme conditions - creating a liquid as sweet and accessible as its highland home is remote. This is an indulgent, honeyed Dalwhinnie that is comforting, rich and sweet, with notes of heather and peat and a spicy warmth with a deep gold; almost polished bronze colour.",Scotch Whisky,700mL,23.75,43%,Scotland,Dalwhinnie,Single Malt,no_information,no_information,no_information
69,"The Soleo Collection is a new range with clear story and navigation, moving away from vintages and focusing on age statements. All expressions are matured in 100% sherry seasoned casks, for a rich sensorial experience. No allocation constraints. Aged for 25 years in predominantly first fill sherry seasoned casks, this expression delivers heady woody notes yet lighter notes of citrus and tropical fruits shine through. The Glenrothes 25 years old is the winner of Chairman’s Trophy with a score of 97 at the Ultimate Spirits Challenge 2018. ",700mL,Speyside,23.8,43%,Scotland,25 Year Old,The Glenrothes,Stopper,Single Malt,no_information
70,"Bridging the boundary of the Highlands and Lowlands, Glengoyne is a unique distillery in that they don't use peat smoke to dry their barley, rather they simply use warm air. This gives the whiskies they produce a feel of grace and subtlety. Their 12 Year Old Single Malt has a nose of lemon rind and candied apples and glimmer of coconut. The palate is dense and flavoursome courtesy of the hand-selected sherry casks that also impart a textured, long lasting finish.",Scotch Whisky,700mL,Highland,23.7,43.00%,Scotland,12 Year Old,Glengoyne,Single Malt,no_information
71,"The first-ever Inchgower Special Release in this series is a complex, surprising whisky from a distillery with a heart-warming back story, which starts sweetly then becomes crisply aromatic and drying with a beautiful bitter-sweet drying finish. The romantic story of Inchgower begins with a famous predecessor. Tochieneal distillery was built nearby in 1824 by local factor, Alexander Wilson. His nephew, also Alexander but known to all as 'Uncle Sandy', developed its fame but had to close it in 1870, when a proposed doubling of the rent made distilling uneconomic. The water supply, too, had reached its limit as sales of Tochieneal grew. The happy outcome was the building in 1871 of the new Inchgower distillery just outside Buckie, the port closest to the mouth of the River Spey. Men who spent their working lives with 'Uncle Sandy‘ recorded the move in the poem “Tochieneal”. Made near the sea, the whisky is rarely seen as a Single Malt and excitingly different for
a Speyside, enjoying a crisp, aromatic style that has led to its being nicknamed “the Manzanilla of Speyside”, after the Sherry with a similarly distinctive style.",Single Malt Scotch Whisky,700,Speyside,30.2,55.3,Scotland,27 Year Old,Inchgower,,
72,"Two of Tasmania's greatest assets merge together here in the Hellyers Road Distiller Pinot Noir Finish Original Single Malt Whisky. Tasmanian grown malted barley and pure rainwater are harnessed along with casks previously used to mature fine Tasmanian Pinot Noir to produce this truly tailored malt whisky. Richness, texture and an eternal length of flavour will provide any true malt lover with a new world whisky experience to remember.",Australian Whisky,700mL,Tasmania,26,46.20%,Australia,Tasmania,Hellyers Road,Screw Cap,Single Malt
73,no_information,no_information,no_information,no_information,no_information,22,40%,Scotland,12 Year Old,,
74,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
75,Notes of marmalade with the rounded flavours of vanilla spiced apples and a Christmas cake finish - a great introduction to single malt.,Scotch Whisky,700mL,22,40%,Scotland,The Dalmore,Cork,Single Malt,no_information,no_information
76,"Glenfiddich Project XX in the second release in the experimental series and was created when 20 of the industry's most exceptional minds came together to create this truly unique, pioneering expression. Warm summer fruit aromas with sweet candyfloss and liquorice notes. Experiment with a flake of sea salt on the side to heighten the taste.",Scotch Whisky,700mL,Speyside,26,47.0%,Scotland,Glenfiddich,Cork,Single Malt,no_information
77,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
78,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
79,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
80,no_information,no_information,no_information,Highland,23.7,43.00%,Scotland,21 Year Old,Glengoyne,Single Malt,no_information
81,"Cardhu has over 200 years of malt whisky heritage, created by the skill and determination of 2 pioneering women. It was the first distillery bought by John Walker to secure a high quality malt whisky. The 12 year old expression boasts a spirity nose with sweet apple blossom and heathery aromas. Well-balanced on the palate with a warming, dryish finish.",Scotch Whisky,700mL,Speyside,22.1,40.00%,Scotland,12 Year Old,Cardhu,Cork,Single Malt
82,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
